,tipo_titulo,codigo_selic,index,tipo_correcao,data_validade,vna,data_referencia
0,NTN-B,760100,1.62,F,2022-04-08,3906.250367,2022-04-13
1,NTN-B,760199,1.62,F,2022-04-08,3906.250367,2022-04-13
2,NTN-C,770100,1.26,P,2022-04-11,6354.226248,2022-04-13
3,LFT,210100,11.65,O,2022-04-12,11550.506682,2022-04-13
0,NTN-B,760100,1.62,F,2022-04-08,3908.980715,2022-04-14
1,NTN-B,760199,1.62,F,2022-04-08,3908.980715,2022-04-14
2,NTN-C,770100,1.26,P,2022-04-11,6358.415157,2022-04-14
3,LFT,210100,11.65,O,2022-04-13,11555.558758,2022-04-14
0,NTN-B,760100,1.62,F,2022-04-08,3911.712972,2022-04-18
1,NTN-B,760199,1.62,F,2022-04-08,3911.712972,2022-04-18
2,NTN-C,770100,1.26,P,2022-04-11,6362.606828,2022-04-18
3,LFT,210100,11.65,O,2022-04-14,11560.613044,2022-04-18
0,NTN-B,760100,0.76,P,2022-04-19,3913.272051,2022-04-19
1,NTN-B,760199,0.76,P,2022-04-19,3913.272051,2022-04-19
2,NTN-C,770100,1.26,P,2022-04-11,6366.801262,2022-04-19
3,LFT,210100,11.65,O,2022-04-18,11565.66954,2022-04-19
0,NTN-B,760100,0.76,P,2022-04-19,3914.831753,2022-04-20
1,NTN-B,760199,0.76,P,2022-04-19,3914.831753,2022-04-20
2,NTN-C,770100,1.26,P,2022-04-11,6370.998461,2022-04-20
3,LFT,210100,11.65,O,2022-04-19,11570.728249,2022-04-20
0,NTN-B,760100,0.76,P,2022-04-19,3916.392076,2022-04-22
1,NTN-B,760199,0.76,P,2022-04-19,3916.392076,2022-04-22
2,NTN-C,770100,1.73,P,2022-04-22,6395.429813,2022-04-22
3,LFT,210100,11.65,O,2022-04-20,11575.789169,2022-04-22
0,NTN-B,760100,0.76,P,2022-04-19,3917.953021,2022-04-25
1,NTN-B,760199,0.76,P,2022-04-19,3917.953021,2022-04-25
2,NTN-C,770100,1.73,P,2022-04-22,6401.205829,2022-04-25
3,LFT,210100,11.65,O,2022-04-22,11580.852304,2022-04-25
0,NTN-B,760100,0.76,P,2022-04-19,3919.514588,2022-04-26
1,NTN-B,760199,0.76,P,2022-04-19,3919.514588,2022-04-26
2,NTN-C,770100,1.73,P,2022-04-22,6406.987062,2022-04-26
3,LFT,210100,11.65,O,2022-04-25,11585.917653,2022-04-26
0,NTN-B,760100,0.76,P,2022-04-19,3921.076777,2022-04-27
1,NTN-B,760199,0.76,P,2022-04-19,3921.076777,2022-04-27
2,NTN-C,770100,1.73,P,2022-04-22,6412.773517,2022-04-27
3,LFT,210100,11.65,O,2022-04-26,11590.985217,2022-04-27
0,NTN-B,760100,0.94,P,2022-04-28,3925.219843,2022-04-28
1,NTN-B,760199,0.94,P,2022-04-28,3925.219843,2022-04-28
2,NTN-C,770100,1.41,F,2022-04-28,6400.570324,2022-04-28
3,LFT,210100,11.65,O,2022-04-27,11596.054998,2022-04-28
0,NTN-B,760100,0.94,P,2022-04-28,3927.153199,2022-04-29
1,NTN-B,760199,0.94,P,2022-04-28,3927.153199,2022-04-29
2,NTN-C,770100,1.41,F,2022-04-28,6405.293079,2022-04-29
3,LFT,210100,11.65,O,2022-04-28,11601.126997,2022-04-29
0,NTN-B,760100,0.94,P,2022-04-28,3929.087508,2022-05-02
